Timestamp	Main task	Tasks	Batch size	# Epochs	Learning Rate	Model	Input dim	Embedding dim	Hidden dim	Output dim	Dropout	nonlinearity	accuracy	precision	recall	f1-score	loss
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.6620827464788732	0.5265205730693407	0.6544760441827343	0.5407901306897823	5866496.53771805
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.6635347222222222	0.5293220675350885	0.657074222344014	0.5436846259273694	5903488.87176346
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.6644845890410959	0.5292568949505594	0.657058261639426	0.5438820342460889	5948943.266353838
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.6648412162162162	0.5304320393757894	0.6572414833289834	0.5437100326746102	5953278.200512163
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.6648283333333334	0.5297740381100382	0.6570750889480889	0.5431297515547213	5955578.480816118
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.6654029605263158	0.5299012437489412	0.6574334759356141	0.5433404675915845	5956824.535808794
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.6651266233766234	0.5294612770706927	0.6573913590558071	0.5431854144339223	5971766.795002215
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.6653044871794872	0.5305550801228687	0.6575027453138029	0.5433227984477186	6018356.672931902
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.6678433544303798	0.5343537010282264	0.6597048905911247	0.5469180164419214	6028198.941578142
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.6703921875	0.5353988779796593	0.6598927674929237	0.5481215306603151	6037997.452316515
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.6727885802469136	0.5390435790718198	0.6618782477296367	0.5512588207116396	6042040.1082251
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.6735518292682927	0.5387908992599542	0.661711424195723	0.5512035617438676	6044909.5750372335
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.674492469879518	0.5388326719130936	0.6616877743240694	0.5514471846686562	6150658.9586327
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.6746889880952381	0.5383727323437145	0.6615793881217988	0.5511549610340426	6190711.9400169775
